City,Weather_Condition,Temperature
Accra,Tue 7:32 am,77 °F
Addis Ababa,Tue 10:32 am,70 °F
Adelaide,Tue 5:02 pm,67 °F
Algiers,Tue 8:32 am,75 °F
Almaty,Tue 12:32 pm,86 °F
Amman,Tue 10:32 am,77 °F
Amsterdam *,Tue 9:32 am,59 °F
Anadyr,Tue 7:32 pm,37 °F
Anchorage *,Mon 11:32 pm,52 °F
Ankara,Tue 10:32 am,70 °F
Antananarivo,Tue 10:32 am,64 °F
Asuncion,Tue 4:32 am,61 °F
Athens *,Tue 10:32 am,81 °F
Atlanta *,Tue 3:32 am,73 °F
Auckland,Tue 7:32 pm,52 °F
Bangkok,Tue 2:32 pm,93 °F
Barcelona *,Tue 9:32 am,72 °F
Beijing,Tue 3:32 pm,80 °F
Belgrade *,Tue 9:32 am,79 °F
Bengaluru,Tue 1:02 pm,81 °F
Berlin *,Tue 9:32 am,66 °F
Bogota,Tue 2:32 am,52 °F
Boston *,Tue 3:32 am,63 °F
Brasilia,Tue 4:32 am,55 °F
Brisbane,Tue 5:32 pm,66 °F
Brussels *,Tue 9:32 am,55 °F
Bucharest *,Tue 10:32 am,75 °F
Budapest *,Tue 9:32 am,75 °F
Buenos Aires,Tue 4:32 am,48 °F
Cairo *,Tue 10:32 am,84 °F
Calgary *,Tue 1:32 am,55 °F
Canberra,Tue 5:32 pm,57 °F
Cape Town,Tue 9:32 am,48 °F
Caracas,Tue 3:32 am,77 °F
Casablanca *,Tue 8:32 am,68 °F
Chicago *,Tue 2:32 am,72 °F
Copenhagen *,Tue 9:32 am,61 °F
Dallas *,Tue 2:32 am,81 °F
Dar es Salaam,Tue 10:32 am,79 °F
Darwin,Tue 5:02 pm,86 °F
Denver *,Tue 1:32 am,64 °F
Detroit *,Tue 3:32 am,71 °F
Dhaka,Tue 1:32 pm,92 °F
Doha,Tue 10:32 am,104 °F
Dubai,Tue 11:32 am,100 °F
Dublin *,Tue 8:32 am,52 °F
Edmonton *,Tue 1:32 am,50 °F
